program_code,region,model_line,my,term_months,model_code,model_description,bonus_cash,apr_tier_1,apr_tier_2,apr_tier_3,apr_tier_4,apr_tier_5,apr_tier_6,apr_tier_7,apr_tier_8
H700,MS,ELANTRA HEV,2026,25-36,494B2FBS,4dr Sdn SEL Sport Hybrid,0,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA HEV,2026,25-36,494C2FBS,4dr Sdn Blue Hybrid,0,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA HEV,2026,25-36,494D2FBS,4dr Sdn Limited Hybrid,0,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA HEV,2026,37-48,494B2FBS,4dr Sdn SEL Sport Hybrid,0,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA HEV,2026,37-48,494C2FBS,4dr Sdn Blue Hybrid,0,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA HEV,2026,37-48,494D2FBS,4dr Sdn Limited Hybrid,0,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA HEV,2026,49-60,494B2FBS,4dr Sdn SEL Sport Hybrid,0,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA HEV,2026,49-60,494C2FBS,4dr Sdn Blue Hybrid,0,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA HEV,2026,49-60,494D2FBS,4dr Sdn Limited Hybrid,0,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1099
H700,MS,ELANTRA HEV,2026,61-72,494B2FBS,4dr Sdn SEL Sport Hybrid,0,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1199
H700,MS,ELANTRA HEV,2026,61-72,494C2FBS,4dr Sdn Blue Hybrid,0,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1199
H700,MS,ELANTRA HEV,2026,61-72,494D2FBS,4dr Sdn Limited Hybrid,0,0.0449,0.0449,0.0549,0.0649,0.0849,0.0949,0.1049,0.1199
H700,MS,ELANTRA HEV,2026,73-84,494B2FBS,4dr Sdn SEL Sport Hybrid,0,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,ELANTRA HEV,2026,73-84,494C2FBS,4dr Sdn Blue Hybrid,0,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,ELANTRA HEV,2026,73-84,494D2FBS,4dr Sdn Limited Hybrid,0,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,ELANTRA HEV,2025,24,494B2FBS,4dr Sdn HEV SEL Sport,1000,0.0199,0.0199,0.0299,0.0399,0.0599,0.0699,0.0799,0.0949
H700,MS,ELANTRA HEV,2025,24,494C2FBS,4dr Sdn HEV Blue,1000,0.0199,0.0199,0.0299,0.0399,0.0599,0.0699,0.0799,0.0949
H700,MS,ELANTRA HEV,2025,24,494D2FBS,4dr Sdn HEV Limited,1000,0.0199,0.0199,0.0299,0.0399,0.0599,0.0699,0.0799,0.0949
H700,MS,ELANTRA HEV,2025,25-36,494B2FBS,4dr Sdn HEV SEL Sport,1000,0.0199,0.0199,0.0299,0.0399,0.0599,0.0699,0.0799,0.0949
H700,MS,ELANTRA HEV,2025,25-36,494C2FBS,4dr Sdn HEV Blue,1000,0.0199,0.0199,0.0299,0.0399,0.0599,0.0699,0.0799,0.0949
H700,MS,ELANTRA HEV,2025,25-36,494D2FBS,4dr Sdn HEV Limited,1000,0.0199,0.0199,0.0299,0.0399,0.0599,0.0699,0.0799,0.0949
H700,MS,ELANTRA HEV,2025,37-48,494B2FBS,4dr Sdn HEV SEL Sport,1000,0.0199,0.0199,0.0299,0.0399,0.0599,0.0699,0.0799,0.0949
H700,MS,ELANTRA HEV,2025,37-48,494C2FBS,4dr Sdn HEV Blue,1000,0.0199,0.0199,0.0299,0.0399,0.0599,0.0699,0.0799,0.0949
H700,MS,ELANTRA HEV,2025,37-48,494D2FBS,4dr Sdn HEV Limited,1000,0.0199,0.0199,0.0299,0.0399,0.0599,0.0699,0.0799,0.0949
H700,MS,ELANTRA HEV,2025,49-60,494B2FBS,4dr Sdn HEV SEL Sport,1000,0.0249,0.0249,0.0349,0.0449,0.0649,0.0749,0.0849,0.0949
H700,MS,ELANTRA HEV,2025,49-60,494C2FBS,4dr Sdn HEV Blue,1000,0.0249,0.0249,0.0349,0.0449,0.0649,0.0749,0.0849,0.0949
H700,MS,ELANTRA HEV,2025,49-60,494D2FBS,4dr Sdn HEV Limited,1000,0.0249,0.0249,0.0349,0.0449,0.0649,0.0749,0.0849,0.0949
H700,MS,ELANTRA HEV,2025,61-72,494B2FBS,4dr Sdn HEV SEL Sport,1000,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1049
H700,MS,ELANTRA HEV,2025,61-72,494C2FBS,4dr Sdn HEV Blue,1000,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1049
H700,MS,ELANTRA HEV,2025,61-72,494D2FBS,4dr Sdn HEV Limited,1000,0.0349,0.0349,0.0449,0.0549,0.0749,0.0849,0.0949,0.1049
H700,MS,ELANTRA HEV,2025,73-84,494B2FBS,4dr Sdn HEV SEL Sport,1000,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,ELANTRA HEV,2025,73-84,494C2FBS,4dr Sdn HEV Blue,1000,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,ELANTRA HEV,2025,73-84,494D2FBS,4dr Sdn HEV Limited,1000,0.0699,0.0699,0.0799,0.0849,,,,
H700,MS,ELANTRA N,2026,24,4N4A2FT5,4dr Sdn N,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2026,24,4N4A3FT5,4dr Sdn N MT,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2026,25-36,4N4A2FT5,4dr Sdn N,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2026,25-36,4N4A3FT5,4dr Sdn N MT,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2026,37-48,4N4A2FT5,4dr Sdn N,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2026,37-48,4N4A3FT5,4dr Sdn N MT,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2026,49-60,4N4A2FT5,4dr Sdn N,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
H700,MS,ELANTRA N,2026,49-60,4N4A3FT5,4dr Sdn N MT,0,0.0589,0.0589,0.0629,0.0679,0.0899,0.0999,0.1199,0.1299
